0,1,2,3,4,5,6,7,8,task
1.368307904,15.56627092,7.363358657,9.130545011,9.381931663,-0.664610174,14.3424455,15.5662889,15.35981353,0
1.41886986,14.956788,7.213865236,8.88231805,9.094953849,0.959956604,13.57667286,14.50401031,14.34384085,0
-0.089041833,1.529375835,4.467927825,4.33346157,4.987635654,-0.088195209,4.97309935,4.524676507,3.753813407,0
-0.576551612,0.508534865,5.179220553,5.776823688,3.562156076,-0.666959471,3.123033792,3.119847008,2.817341261,0
1.830962708,7.123011601,3.701430827,3.503360203,4.867700659,1.058719868,5.743596746,5.144170468,4.519547166,0
1.512113386,5.08941212,3.324341404,2.808156005,4.859582613,-0.343087345,4.809984028,4.290431226,3.632066808,0
-0.012273459,0.944558012,3.424034422,3.014782231,2.655985576,1.04915009,2.362814141,2.171195966,1.883686737,0
1.487970636,3.794320498,1.919209172,0.987581564,4.40422698,-0.674946729,3.924143434,2.900827384,1.818886213,0
1.158716799,3.875740963,2.682595008,1.867864008,4.922672231,-0.666012561,4.423751329,3.274226096,2.473401341,0
0.903706103,2.270051707,2.607525344,1.882196399,4.004373839,-0.24507488,2.806271451,2.163177736,1.716429169,0
-0.080533768,1.322919793,3.361385773,2.680811665,4.160734441,-0.479161948,2.829422757,2.669159304,2.45103256,0
-1.161307883,-0.251641246,2.054875325,1.542179329,3.89197739,-0.609456693,2.128660926,1.516679979,1.043771478,0
-1.380575077,-0.431751937,2.324015424,2.088159953,1.301205747,-0.617599117,1.210874311,1.136710863,0.99680306,0
0.089505356,0.956574986,2.343095117,1.635906428,3.116367725,0.668467208,1.985985467,1.502661501,1.172137202,0
-0.860256209,-0.211519062,1.670673167,1.154137186,1.059257865,2.074634952,0.68106581,0.693648088,0.582260926,0
-0.5541051,0.306810712,2.067332865,1.249196409,0.050469827,-0.554680829,0.964586104,0.682195737,0.767809206,0
0.605691241,1.75578665,2.152629526,1.237177009,1.926916303,-0.65014011,1.717030581,1.382930139,1.128287675,0
0.119389957,0.340526549,1.738724466,1.39141187,2.118244657,-0.62776097,1.091230757,0.874843643,0.713001128,0
0.633923524,1.876876766,1.335371853,0.517837062,4.2286962,-0.599116914,3.136198575,1.932498805,1.070222682,0
-1.750890361,-0.559757697,2.024878468,1.735047515,1.383576553,-0.41435817,1.092981998,0.910462788,0.70389857,0
0.816730999,1.559162518,1.415073435,0.723841795,2.559019856,-0.43063739,1.795046515,1.099746322,0.680980163,0
-0.487406759,0.000282188,1.975942033,1.406645779,2.831269041,-0.552192742,1.623128014,1.136703116,0.704405991,0
0.949551861,1.274034246,2.414557542,1.914959127,1.506198465,-0.676530811,1.447496319,1.07273223,0.923597519,0
-1.214893199,-0.426018074,2.628640086,2.840014934,0.958390031,-0.665301798,0.647343306,0.688102941,0.721547559,0
-0.35013485,0.045111776,2.201386981,1.883334373,1.083607397,-0.088346307,0.579910334,0.711020877,0.743110456,0
1.652206946,2.080726958,1.676027249,1.096136462,0.864314856,-0.622488735,0.730589456,0.772251233,0.72431942,0
0.137743794,0.212349622,2.219819465,2.157111806,0.398399068,-0.665909574,0.466365513,0.655878916,0.772795843,0
0.059384539,0.164228942,1.85465132,1.726876036,1.351772292,-0.676918068,0.752489637,0.655368063,0.577336185,0
-0.064512276,0.032750951,2.125609981,2.208573678,0.716265,2.051783932,0.545703359,0.658991506,0.686652209,0
-0.421940335,-0.054570578,1.826286838,1.543745427,1.924565613,0.367491176,1.161525523,0.966980813,0.821351307,0
-1.100577188,-0.432712783,1.426279036,1.212190291,-1.904780027,-0.609892902,0.312625212,0.299110579,0.320376201,0
-0.726315115,0.019325967,1.632870791,1.027348665,2.652196645,0.327747179,1.312349638,1.048016166,0.784900539,0
-1.356566679,-0.504233912,1.734361447,1.684708257,-0.068309308,-0.565828872,0.253679983,0.38302983,0.485305636,0
-0.36528237,-0.065485785,1.730960671,1.595971434,1.047701985,-0.658109441,0.973661824,0.773529806,0.681023434,0
0.006187393,0.43667134,1.659776791,1.076275069,2.490545701,0.766255337,1.447934952,0.937663959,0.601415238,0
